ID,Cod_Tipo_Cart_Rel,UF,Esfera,Quantidade_media_guias,Volume_medio_arrecadado,Volume_medio_tarifas,Margem_contribuicao_media,Tarifa_media
105548215,407,TO,MUNICIPAL,188,5049.4,203.6,0.0,1.0
200536228,407,SP,MUNICIPAL,2,992.0,2.0,0.0,1.0
201230221,406,SP,MUNICIPAL,17484,65130.75,17178.5,1276.25,1.0
203245695,407,RS,MUNICIPAL,1,0.0,1.0,0.0,1.0
203759759,407,SC,MUNICIPAL,6,0.0,6.0,0.0,1.0
205133774,407,PR,MUNICIPAL,440,26295.5,433.5,0.0,1.0
300506207,405,TO,MUNICIPAL,13275,2153.6,11845.6,175.0,1.0
301113633,407,RO,MUNICIPAL,2701,40573.25,2578.75,0.0,1.0
302885964,407,GO,MUNICIPAL,155,50292.5,126.5,23.5,1.0
411913427,406,GO,MUNICIPAL,2693,15572.75,2690.25,161.25,1.0
500111491,406,CE,MUNICIPAL,5062,23353.25,5660.25,14.25,1.0
500783818,405,RN,MUNICIPAL,10843,111487.0,10893.0,0.0,1.0
516427202,405,TO,MUNICIPAL,225,2868.5,224.0,13.0,1.0
600772520,406,MG,MUNICIPAL,930,58752.33,803.67,0.0,1.0
600961616,406,MG,MUNICIPAL,15891,286101.25,12298.5,285.75,1.0
800897531,406,BA,MUNICIPAL,499,20241.5,470.75,0.0,1.0
906070921,407,CE,MUNICIPAL,712,3655.0,744.6,0.0,1.0
906071406,405,PE,MUNICIPAL,3104,794.5,2703.5,0.0,1.0
906071904,405,SE,MUNICIPAL,2246,180.0,2242.0,0.0,1.0
921954535,405,GO,MUNICIPAL,198,50000.0,201.5,0.0,1.0
103456144,406,CE,MUNICIPAL,2482,12980.5,1936.5,0.0,0.99
103763819,406,CE,MUNICIPAL,4435,22215.5,4429.5,0.0,0.99
104904815,407,GO,MUNICIPAL,1425,2705.5,1338.75,0.0,0.99
105127477,406,PE,MUNICIPAL,1110,26186.0,966.0,0.0,0.99
105134580,406,BA,MUNICIPAL,421,13186.2,482.0,25.4,0.99
105409230,407,GO,MUNICIPAL,391,0.0,425.5,82.5,0.99
105481367,406,RJ,MUNICIPAL,7516,17507.0,5550.67,0.0,0.99
105503555,407,MG,MUNICIPAL,1095,899.0,1089.5,0.0,0.99
105578648,406,BA,MUNICIPAL,12877,80592.0,12730.0,0.0,0.99
105732398,406,GO,MUNICIPAL,4929,150092.25,3943.25,539.5,0.99
106139172,406,MA,MUNICIPAL,857,2420.0,853.5,0.0,0.99
200091410,406,SP,MUNICIPAL,17825,14682.8,14977.2,747.2,0.99
203744318,407,SC,MUNICIPAL,579,3420.8,584.2,147.4,0.99
300228537,406,MT,MUNICIPAL,2607,6566.5,2539.0,404.0,0.99
303569449,406,GO,MUNICIPAL,10210,46732.33,9062.0,0.0,0.99
400363348,407,RS,MUNICIPAL,178,0.0,176.0,0.0,0.99
702065244,407,PR,MUNICIPAL,1948,11983.0,1673.5,0.0,0.99
